ChildDate	ChildRegion	ParentRegion	ParentDate
2021.82189649833	Arequipa	Lima	2021.81641649833
2021.81641649843	Arequipa	Lima	2021.81641649833
2021.75613649833	Arequipa	Lima	2021.75365649833
2021.87120649833	Moquegua	Lima	2021.84106649833
2021.84106649843	Moquegua	Lima	2021.84106649833
2021.81914649843	Moquegua	Lima	2021.81914649833
2021.85475649833	Moquegua	Lima	2021.83973649833
2021.87120649843	Moquegua	Lima	2021.87120649833
2021.87942649833	Moquegua	Lima	2021.87120649833
2021.89038649833	Moquegua	Huanuco	2021.87942649833
2021.87942649843	Moquegua	Huanuco	2021.87942649833
2021.92052649833	Moquegua	Huanuco	2021.90883649833
2021.94243649833	Tacna	Huanuco	2021.90883649833
2021.79723649833	Arequipa	Huanuco	2021.79723649823
2021.87120649833	Lambayeque	Callao	2021.87120649823
2021.92325649823	Lambayeque	Callao	2021.87120649823
2021.87120649833	Lambayeque	Callao	2021.87120649823
2021.87120649843	Lambayeque	Callao	2021.87120649833
2021.87120649843	Lambayeque	Callao	2021.87120649833
2021.86024649823	Arequipa	Lima	2021.85009649823
2021.97257649833	Arequipa	Lima	2021.85789649833
2021.86572649843	Arequipa	Lima	2021.86572649833
2021.88490649833	Arequipa	Lima	2021.86572649833
2021.88764649823	Arequipa	Loreto	2021.88357649823
2021.90955649823	Arequipa	Loreto	2021.88717649823
2021.88763649833	Arequipa	Loreto	2021.88763649823
2021.88763649833	Arequipa	Loreto	2021.88763649823
2021.51503649803	Lima	Arequipa	2021.51503649793
2021.55886649793	Lima	Arequipa	2021.53639649793
2021.55886649793	Lima	Arequipa	2021.53639649793
2021.65749649793	Lima	Arequipa	2021.52790649793
2021.62736649803	Lima	Arequipa	2021.53816649803
2021.64106649803	Cajamarca	Arequipa	2021.62696649803
2021.64106649803	Cajamarca	Arequipa	2021.62696649803
2021.58626649793	Callao	Arequipa	2021.55028649793
2021.64106649793	La Libertad	Arequipa	2021.55028649793
2021.66297649793	Tacna	Arequipa	2021.59668649793
2021.63284649803	Lima	Arequipa	2021.63284649793
2021.67120649793	Lima	Arequipa	2021.64834649793
2021.65750649793	Lima	Moquegua	2021.64928649793
2021.64928649803	Lima	Moquegua	2021.64928649793
2021.67120649793	Lima	Moquegua	2021.66351649793
2021.67668649803	Callao	Moquegua	2021.67668649793
2021.67668649803	Callao	Moquegua	2021.67668649793
2021.66297649803	San Martin	Moquegua	2021.54975649803
2021.57804649803	Lambayeque	Moquegua	2021.57447649803
2021.62188649803	Lambayeque	Moquegua	2021.57447649803
2021.56434649813	Callao	Moquegua	2021.54975649813
2021.58352649813	Callao	Moquegua	2021.57867649813
2021.58352649813	Lima	Moquegua	2021.57867649813
2021.84106649803	La Libertad	Arequipa	2021.74338649803
2021.78079649803	La Libertad	Lambayeque	2021.77544649803
2021.78079649803	La Libertad	Lambayeque	2021.77544649803
2021.63010649813	Ucayali	Lambayeque	2021.63010649803
2021.67942649803	Ucayali	Lambayeque	2021.63010649803
2021.63284649813	Ucayali	Lambayeque	2021.63284649803
2021.67942649803	Ucayali	Arequipa	2021.64060649803
2021.64106649813	Ucayali	Arequipa	2021.64106649803
2021.67941649803	Ucayali	Arequipa	2021.67191649803
2021.67941649813	Ucayali	Arequipa	2021.67941649803
2021.68489649813	Ucayali	Arequipa	2021.68489649803
2021.68489649813	Ucayali	Arequipa	2021.68489649803
2021.53147649793	Callao	Arequipa	2021.51032649793
2021.55065649803	Callao	Lima	2021.55065649793
2021.58627649803	Callao	Piura	2021.58627649793
2021.61093649793	Callao	Piura	2021.58627649793
2021.53421649803	Callao	Lima	2021.53421649793
2021.63010649803	Callao	Lima	2021.59572649803
2021.60270649803	Callao	Lima	2021.60000649803
2021.63284649813	Callao	Lima	2021.63284649803
2021.67393649803	Callao	Cajamarca	2021.66643649803
2021.94790649803	Lima	Callao	2021.80982649803
2021.86023649803	Lima	Callao	2021.82009649803
2021.82461649803	Lima	Callao	2021.82009649803
2021.60270649803	Callao	Lima	2021.60270649793
2021.63010649803	Callao	Lima	2021.63010649793
2021.69037649793	Lima	Callao	2021.68224649793
2021.75887649793	Lima	Callao	2021.68224649793
2021.67942649803	Lima	Callao	2021.67942649793
2021.69586649793	Lima	Callao	2021.67942649793
2021.70408649793	Lima	Lambayeque	2021.68907649793
2021.72874649793	Lima	Callao	2021.69586649793
2021.69586649803	Lima	Callao	2021.69586649793
2021.66298649803	Cajamarca	La Libertad	2021.66298649793
2021.71777649793	Cajamarca	La Libertad	2021.66298649793
2021.70956649803	Cajamarca	La Libertad	2021.70956649793
2021.74791649803	Lambayeque	Ucayali	2021.74791649793
2021.78627649793	Lambayeque	Ucayali	2021.78353649793
2021.78353649803	Lambayeque	Ucayali	2021.78353649793
2021.76435649793	Lambayeque	Ucayali	2021.75968649793
2021.77531649793	Lambayeque	Ucayali	2021.76118649793
2021.76161649803	Lambayeque	Ucayali	2021.76161649793
2021.77805649793	Lambayeque	Ucayali	2021.77759649793
2021.77805649803	Lambayeque	Ucayali	2021.77805649793
2021.77805649803	Lambayeque	Ucayali	2021.77805649793
2021.64929649803	Cusco	Callao	2021.64929649793
2021.65203649803	Moquegua	Callao	2021.65203649793
2021.65203649803	Moquegua	Callao	2021.65203649793
2021.69039649793	Lima	Callao	2021.67768649793
2021.75615649793	Lima	Callao	2021.74865649793
2021.75615649803	Lima	Callao	2021.75615649793
2021.84382649793	Lima	Callao	2021.78184649793
2021.66847649803	Callao	Lima	2021.66847649793
2021.92875649793	Arequipa	Lima	2021.68765649793
2021.68765649803	Callao	Lima	2021.68765649793
2021.73149649793	Lima	Callao	2021.72774649793
2021.78080649803	Ancash	Cajamarca	2021.78080649793
2021.85751649803	Lima	Cajamarca	2021.85751649793
2021.89587649793	Lima	Cajamarca	2021.85751649793
2021.72875649803	Lima	Cajamarca	2021.72875649793
2021.76437649793	La Libertad	Lambayeque	2021.75944649793
2021.76711649793	La Libertad	Lambayeque	2021.75944649793
2021.78903649803	Lima	Lambayeque	2021.78903649793
2021.83835649793	Lima	Lambayeque	2021.83084649793
2021.89588649793	Lima	Lambayeque	2021.86372649793
2021.87122649803	Lima	Lambayeque	2021.87122649793
2021.94245649793	Lima	Lambayeque	2021.87122649793
2021.67120649793	Lima	Callao	2021.65766649793
2021.67942649823	Lima	Callao	2021.67205649823
2021.67942649813	Lima	Moquegua	2021.67205649813
2021.73969649803	Lima	Ancash	2021.70087649803
2021.70133649813	Callao	Lima	2021.70133649803
2021.83557649803	Tumbes	Lima	2021.81785649803
2021.90133649803	Lima	Lambayeque	2021.83697649803
2021.89311649803	Piura	Lambayeque	2021.83697649803
2021.73147649793	Lima	La Libertad	2021.71642649793
2021.73146649793	Lima	Lambayeque	2021.72610649793
2021.75612649793	Lambayeque	Lima	2021.74863649793
2021.80270649793	Lambayeque	Lima	2021.79520649793
2021.85202649803	Cajamarca	Lima	2021.85202649793
2021.86024649793	Cajamarca	Lima	2021.85202649793
2021.67942649823	Callao	Lima	2021.67942649813
2021.70134649823	Lima	Callao	2021.70134649813
2021.88490649813	Lima	Callao	2021.78591649813
2021.71229649803	Lima	Callao	2021.70743649803
2021.88489649803	Ancash	Callao	2021.71229649803
2021.71229649813	Lima	Callao	2021.71229649803
2021.90405649803	Lima	Callao	2021.81614649803
2021.78627649803	Lima	Lambayeque	2021.77871649803
2021.78901649813	Lima	Cajamarca	2021.78901649803
2021.83559649813	Arequipa	Lima	2021.83559649803
2021.92326649813	Ucayali	Callao	2021.92326649803
2021.92326649813	Ucayali	Callao	2021.92326649803
2021.82463649803	Lima	Callao	2021.80956649803
2021.83559649803	Lima	Tumbes	2021.82058649803
2021.89038649813	Ica	Lima	2021.89038649803
2021.97531649803	Ica	Callao	2021.96709649803
2021.96709649813	Ica	Callao	2021.96709649803
2021.83832649793	Pasco	Lima	2021.35335649793
2021.58079649793	Callao	Lima	2021.56115649793
2021.58079649793	Callao	Lima	2021.58033649793
2021.58079649803	Callao	Lima	2021.58079649793
2021.58079649803	Callao	Lima	2021.58079649793
2021.53695649823	Lima	Callao	2021.52730649823
2021.97805649823	Cusco	La Libertad	2021.57607649823
2021.59722649823	Lima	La Libertad	2021.57607649823
2021.74791649823	Lima	La Libertad	2021.69361649823
2021.77531649843	Lima	La Libertad	2021.77531649833
2021.77531649843	Lima	La Libertad	2021.77531649833
2021.74791649843	Lima	La Libertad	2021.74791649833
2021.84380649843	Lima	La Libertad	2021.84380649833
2021.84380649843	Lima	La Libertad	2021.84380649833
2021.76435649833	Piura	La Libertad	2021.76435649823
2021.76983649833	Cusco	La Libertad	2021.76983649823
2021.82736649833	Cusco	La Libertad	2021.82736649823
2021.84654649833	Cusco	La Libertad	2021.84654649823
2021.86024649833	Cusco	La Libertad	2021.86024649823
2021.86298649833	Cusco	La Libertad	2021.86298649823
2021.87394649833	Cusco	La Libertad	2021.87394649823
2021.87668649823	Cusco	La Libertad	2021.87622649823
2021.87668649833	Cusco	La Libertad	2021.87668649823
2021.87942649833	Cusco	La Libertad	2021.87942649823
2021.91503649823	Cusco	La Libertad	2021.90753649823
